[Thu Jun 11 22:29:53.282347 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61256] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.464636 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61257] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.697411 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61258] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.887604 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61259] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:53.988846 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61260] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:54.293233 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61261] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:54.531527 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61262] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:54.561992 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61263] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:54.868940 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61264] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:55.126214 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61265] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:55.227254 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61266] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:55.499735 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61267] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:55.672558 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61268] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:55.811118 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61269] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:56.132181 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61270] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:56.315791 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61271] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:56.356348 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61272] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:56.686911 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61273] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:56.881314 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61274] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:56.985691 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61275] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:57.304652 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61276] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:57.566855 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61277] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:57.680120 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61278] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:58.056034 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61279] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:58.300480 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61280] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:58.308603 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61281] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:58.688086 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61282] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:58.926084 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61285] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:59.023792 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61284] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:59.246605 2020] [php7:error] [pid 5984:tid 2064] [client 127.0.0.1:61286] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:59.529972 2020] [php7:error] [pid 5984:tid 2044] [client 127.0.0.1:61287] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
[Thu Jun 11 22:29:59.608704 2020] [php7:error] [pid 5984:tid 2036] [client 127.0.0.1:61288] PHP Fatal error:  Cannot use App\\Kelas as Kelas because the name is already in use in D:\\XAMPP\\htdocs\\laravel7\\app\\Http\\Controllers\\funcController.php on line 19, referer: http://ppdb.ccom/pengaturan
